user_name,content
zh21zhh,
QuailAries,
申申菌,
Suka_lazeri,
-RyanWong-,
PS3保罗,
-lyr1cs-,
-lyr1cs-,
一只傻奥得g,
不靠谱的潇爷是好好先生,
北极以北地,
我的-加油,//@爱读闲书1017:[蜡烛][蜡烛][蜡烛]//@zh21zhh:你敲开的不只是哈利一个人的门
我的-加油,//@爱读闲书1017:[蜡烛][蜡烛][蜡烛]//@zh21zhh:你敲开的不只是哈利一个人的门
变温其妙植物,我生气了。//@自救指东:😭啊啊啊啊//@夹一点心:But Hagrid will.[泪] http://t.cn/A6ofkT5r //@zh21zhh:你敲开的不只是哈利一个人的门
imhlj346,
用户7788427301,
哎呦小灶儿,[泪]//@zh21zhh:你敲开的不只是哈利一个人的门
拒绝滴滴从我做起,
生活是这样子不如诗啊,[泪][泪][泪]//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
rouroufaye_aa,//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
芒果炒鹅_,哭了//@zh21zhh:你敲开的不只是哈利一个人的门
秃然而已,[蜡烛][蜡烛]霍格沃茨见10.15转//@zh21zhh:你敲开的不只是哈利一个人的门
源于椿雨,好快，两个月了[泪]//@莎士比亚·淑妃:最温柔的巨人[泪]
崔振坤89,//@肥牛卷wonderland:[伤心]
倒数字母表-,看一次难受一次，我的梦一次又一次破碎//@小周坐一下XD:我真的会哭[泪]
蕞爱典典,
Annie-Clover,[泪][泪][泪]//@杨京墨L:海格依然会在林场照顾那些神奇动物和巨型南瓜。 http://t.cn/A6ofF4Zn //@zh21zhh:你敲开的不只是哈利一个人的门
釜山猴子在拉磨,
冬天有养米,//@紫曦怀里的狐狸:海格去了霍格沃兹吧
皇族担当,[泪]永远等待霍格沃茨的录取通知书//@zh21zhh:你敲开的不只是哈利一个人的门
风起云散1207,
火星时光,
可爱汤圆圆,
Bh黄,
睡觉怎么你了_,吃到了被撞坏的[泪] http://t.cn/A6oFNb0R //@yvskk:还没吃海格蛋糕[泪][蜡烛]
NayekM,我买了，很好吃，谢谢海格[泪][泪][泪] http://t.cn/A6oe5JV5 //@NayekM:我一定要去买个海格给哈利的生日蛋糕吃[泪][泪]
水溶液显中性,
济明长流,
Revo是天使吖,啊啊啊啊啊我今天才知道[泪][泪][泪]//@柒柒suki :[苦涩][苦涩][苦涩]最可爱的海格
麦田-印記,//@译林出版社:#哈利波特海格扮演者去世# 永远的海格！
自然易道,魔法世界的人总得先找个理由先行离开//@Reginawon:天啊[泪][泪][泪]
穿件格兰芬多马甲吧,
自然易道,有童真有坚持//@汤小妞-Saving:[悲伤][泪][蜡烛]RIP
th_hollowmen,//@zh21zhh :你敲开的不只是哈利一个人的门
一只柠檬喵lj,
心想事成的kk,[泪][心]//@zh21zhh:你敲开的不只是哈利一个人的门
-星空流-,
许玉香Ann,
ErrorInu,
啊啊啊取名字真的好难啊别逼我了,//@QuailAries:这个世界不断跟我说「你再不是孩子了」
Xyjwdlh,
一棵椰汁_,
F_Jun君,
淹死那个月亮,
灬夏末微凉_,
LetniWiatr,
zz偏爱修勾,
轩轩想你了R,
微积分羊,
不知道哦O_o,
记忆里的12时12分,
律酥藏,
充电要用TypeC,//@zh21zhh:你敲开的不只是哈利一个人的门
jenny_jin围脖,
Julia_3oO,//@zh21zhh:你敲开的不只是哈利一个人的门
Chennn南鸢,
扫帚用户9447446898,//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
被美术80的一生,//@邢立达:他永远留在霍格沃兹了。
筱筱筱筱的梦,
天空是绵绵的糖ccc,//@申申菌:[苦涩][苦涩][苦涩][苦涩][苦涩]天呐
Dorothy_熊猫,
丫丫配吖吖,
糯米糕贴在雪面上,//@zh21zhh:你敲开的不只是哈利一个人的门
蟹老板的小干部,
无敌鳕鱼堡大王,//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
sme114catt,
一条琴弦ovo,
听信狐仙上神鬼话,
Kim温柔,[心]但海格依然会在[心]//@zh21zhh:你敲开的不只是哈利一个人的门
是正摆心不是侧摆心,[泪]//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
亲亲yeekies,
如积水空明盖竹柏影也,
powqviki,对角巷见😿//@zh21zhh:你敲开的不只是哈利一个人的门
一年只能改一回昵称的普通用户,
看见flowers,@不遇怎知恩
小女人我就是cinderella,Hagrid[泪][抱一抱]//@QuailAries:这个世界不断跟我说「你再不是孩子了」
DD小木201801,//@QuailAries:这个世界不断跟我说「你再不是孩子了」
柚是hanyu呀,怎么才看到，我哭😭//@欣悦于你_:魔法世界里，你永远都在[泪]
吐个泡儿o00,
双份糖浆谢谢,
_喔泡泡泡O,我真的崩溃了[泪][泪]//@zh21zhh:你敲开的不只是哈利一个人的门
靓仔漫太古,//@zh21zhh:你敲开的不只是哈利一个人的门
江水过春木-,//@zh21zhh:你敲开的不只是哈利一个人的门
早川秋的,海格永远存在于我们每个人的心中//@杨京墨L:海格依然会在林场照顾那些神奇动物和巨型南瓜。 http://t.cn/A6ofF4Zn //@zh21zhh:你敲开的不只是哈利一个人的门
早川秋的,//@zh21zhh:你敲开的不只是哈利一个人的门
早川秋的,
吉米火火兔企鹅,
大榕树听夏知秋藏冬盼春,罗彼·考特拉尼不在了，海格还一直在。[悲伤]//@zh21zhh:你敲开的不只是哈利一个人的门。
源来是北海_R,😭😭😭//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
cute莉莉ww,
月满耀星河,[悲伤]时间在前进 但海格永远在//@QuailAries:这个世界不断跟我说「你再不是孩子了」
原子悟理,
今晚早点睡Ruoy,//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
匿名热心网友_A,
城堡里没公主7,
阿芬的海豹,这句话……//@QuailAries:这个世界不断跟我说「你再不是孩子了」
___123___123___,//@QuailAries:这个世界不断跟我说「你再不是孩子了」
狂炸天我是,
不吃果冻就不开心,
jjsnake688,
母柿子,
帕拉丝的小小,//@译林出版社:#哈利波特海格扮演者去世# 永远的海格！
做最勇敢的小七,
Eternity_Hoon,
芙麸温白术,
Klari_Reis,
拉科教经济,
回声远歌,
仯莎,
qqcca是我自己,//@zh21zhh:你敲开的不只是哈利一个人的门
帕咕叽,
闲言_Lu,
用户7464087502,//@杨京墨L:海格依然会在林场照顾那些神奇动物和巨型南瓜。 http://t.cn/A6ofF4Zn //@zh21zhh:你敲开的不只是哈利一个人的门
多看绿色眼睛好,
ur瑞克姥爷,
Coconuteegloriaaaa_,
不是C_,
一只菲子,
bx·k,
马上有好事发生-,//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
抱枕是黄色的,[蜡烛]//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
住在深海里的大菠萝QAQ,//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
用户7747371401,
Poachedegg_J,[泪]//@气焊熊:啊。。[泪][泪][泪]
守枳016,
XY北俞丶,
Ofra_,
爱吃梨子果,😭//@zh21zhh:你敲开的不只是哈利一个人的门
好脾气骑骑,啊！！！！！//@zherprecious://@zh21zhh:你敲开的不只是哈利一个人的门
Mr_三人禾,
一夜暴富本富,//@申申菌:[苦涩][苦涩][苦涩][苦涩][苦涩]天呐
大派派ya,
六月穿堂风2333,
Adileae,//@冷川诺:转发微博
贪看未遂,//@zh21zhh:你敲开的不只是哈利一个人的门
隔壁小舟_wonwoo-,破大防[泪][泪][泪]//@zh21zhh:你敲开的不只是哈利一个人的门
--海天雄镇人--,//@译林出版社:#哈利波特海格扮演者去世# 永远的海格！
玄武家的早餐摊,
请叫我杜桑,
买车找我价格优惠,
木南竹生,嗯…//@Carosello:[泪][蜡烛]//@次等水货:[蜡烛]//@何小沁:这句印象最深//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
淫家才不是Hentai君,海格//@台风君已经弃治了:……
宅女头上长蘑菇,雾草[泪]//@-千两SENRYOU-:[悲伤][悲伤]都退出去了，又回来转这条//@zh21zhh:你敲开的不只是哈利一个人的门
十里亦天涯,
她们欺负我的女儿不会说话,……感觉智商和情商多少都有点毛病//@BABY蓓蓓贝贝:斯内普教授的演员去世的时候没啥感觉 但海格，他是第一个让Harry感受到爱的人呀 是家人，是朋友，毫无条件信任你支持你的温暖的港湾和后盾 海格永远在Hogwarts等我们开学 always [心][心][心][心][心][心]
骑摩托的托马斯,//@希望2022对我好一点的小耗子:🙏//@你的咸蛋黄掉啦: http://t.cn/A6oI2c02 //@zh21zhh:你敲开的不只是哈利一个人的门
_Daphnee,[单身狗]杀我//@zh21zhh:你敲开的不只是哈利一个人的门
快跟我说晚安袄,//@zh21zhh:你敲开的不只是哈利一个人的门
西八啊为什么名称不可用,
faith_废,噢[单身狗]咱们魔法世界再见永远善良的海格//@啊龟de糖果罐:谢谢你敲开了哈利的门，也谢谢你不止是敲开哈利一个人的门……🙏🙏🙏
又焦虑又焦虑,//@Stone_石不转://@zh21zhh:你敲开的不只是哈利一个人的门
香香软软甜甜肉肉,
Jacob这个雅各布,
考拉考拉考拉_,[泪][泪]//@杨京墨L:海格依然会在林场照顾那些神奇动物和巨型南瓜。 http://t.cn/A6ofF4Zn //@zh21zhh:你敲开的不只是哈利一个人的门
gome篱子伤心收容所,
