Source,Target
#李子柒紫气东来,@小狗斯特
#李子柒紫气东来,@风息神泪
#李子柒紫气东来,@矮周迅
#李子柒紫气东来,@战斗田田仔
#李子柒紫气东来,@补课老师今正疯
#李子柒紫气东来,@唐史主任司马迁
#李子柒紫气东来,@老瓶盖i
#李子柒紫气东来,@谢小斌
#李子柒紫气东来,@老阿姨在看着你
#李子柒紫气东来,@毛发浓密大赛冠军
#李子柒紫气东来,@糯糯娜儿
#李子柒紫气东来,@芝芝草莓波波
#李子柒紫气东来,@甘蔗关于你
#李子柒紫气东来,@冬天有烤红薯和炒栗子
#李子柒紫气东来,@BB不要当大熊
#李子柒紫气东来,@敬重风险老韦2号
@敬重风险老韦2号,@金佛尔
#李子柒紫气东来,@李子柒
@李子柒,@陈blank陈
#李子柒紫气东来,@北京玖富涉嫌诈骗必须立案
#李子柒紫气东来,@海阔天空范sky
#李子柒紫气东来,@不吃辣饼
@不吃辣饼,@juldy1219_157
#李子柒紫气东来,@林恩99
#李子柒紫气东来,@夜笑夕
#李子柒紫气东来,@Charonenhen
#李子柒紫气东来,@神域老八
#李子柒紫气东来,@相信一定有光
#李子柒紫气东来,@桥头落日星
#李子柒紫气东来,@缘_scut
#李子柒紫气东来,@雪雪9883
#李子柒紫气东来,@正版浅婳
#李子柒紫气东来,@嘉骏山东
#李子柒紫气东来,@_美洵
#李子柒紫气东来,@Alice200975
#李子柒紫气东来,@小汤圆_NEW
#李子柒紫气东来,@ginger不辣201103
#李子柒紫气东来,@笑影pwy
#李子柒紫气东来,@甜甜爱吃鸡翅seyi
#李子柒紫气东来,@多妈107
#李子柒紫气东来,@年少的达蒙
#李子柒紫气东来,@做自己的姑娘75
#李子柒紫气东来,@Augenweide22
#李子柒紫气东来,@關關雉鸠G
#李子柒紫气东来,@jc-清风明月
#李子柒紫气东来,@小施同学卐
#李子柒紫气东来,@今渡百川
@今渡百川,@感觉自己是收集癖
#李子柒紫气东来,@夏目友人帐girl
#李子柒紫气东来,@春日星火
@春日星火,@罐装啤酒来一听
#李子柒紫气东来,@思源鲍
#李子柒紫气东来,@翁志南
#李子柒紫气东来,@user_name
#李子柒紫气东来,@小狗斯特
#李子柒紫气东来,@风息神泪
#李子柒紫气东来,@矮周迅
#李子柒紫气东来,@战斗田田仔
#李子柒紫气东来,@补课老师今正疯
#李子柒紫气东来,@唐史主任司马迁
#李子柒紫气东来,@老瓶盖i
#李子柒紫气东来,@谢小斌
#李子柒紫气东来,@老阿姨在看着你
#李子柒紫气东来,@毛发浓密大赛冠军
#李子柒紫气东来,@拉影学姐2号机
#李子柒紫气东来,@美梦成蒸
#李子柒紫气东来,@糯糯娜儿
#李子柒紫气东来,@芝芝草莓波波
#李子柒紫气东来,@甘蔗关于你
#李子柒紫气东来,@冬天有烤红薯和炒栗子
#李子柒紫气东来,@BB不要当大熊
#李子柒紫气东来,@敬重风险老韦2号
@敬重风险老韦2号,@金佛尔
#李子柒紫气东来,@李子柒
@李子柒,@陈blank陈
#李子柒紫气东来,@北京玖富涉嫌诈骗必须立案
#李子柒紫气东来,@海阔天空范sky
#李子柒紫气东来,@不吃辣饼
@不吃辣饼,@juldy1219_157
#李子柒紫气东来,@林恩99
#李子柒紫气东来,@夜笑夕
#李子柒紫气东来,@Charonenhen
#李子柒紫气东来,@神域老八
#李子柒紫气东来,@相信一定有光
#李子柒紫气东来,@桥头落日星
#李子柒紫气东来,@缘_scut
#李子柒紫气东来,@雪雪9883
#李子柒紫气东来,@正版浅婳
#李子柒紫气东来,@嘉骏山东
#李子柒紫气东来,@_美洵
#李子柒紫气东来,@Alice200975
#李子柒紫气东来,@小汤圆_NEW
#李子柒紫气东来,@ginger不辣201103
#李子柒紫气东来,@笑影pwy
#李子柒紫气东来,@甜甜爱吃鸡翅seyi
#李子柒紫气东来,@多妈107
#李子柒紫气东来,@年少的达蒙
#李子柒紫气东来,@做自己的姑娘75
#李子柒紫气东来,@Augenweide22
#李子柒紫气东来,@關關雉鸠G
#李子柒紫气东来,@jc-清风明月
#李子柒紫气东来,@小施同学卐
#李子柒紫气东来,@今渡百川
@今渡百川,@感觉自己是收集癖
#李子柒紫气东来,@夏目友人帐girl
#李子柒紫气东来,@春日星火
@春日星火,@罐装啤酒来一听
#李子柒紫气东来,@思源鲍
#李子柒紫气东来,@翁志南
#李子柒紫气东来,@用户7481373252
#李子柒紫气东来,@G-ol
#李子柒紫气东来,@普鲁士新贵
#李子柒紫气东来,@miduotw
#李子柒紫气东来,@纯交流
#李子柒紫气东来,@鑫与皓月
#李子柒紫气东来,@喜欢美女的都有品
#李子柒紫气东来,@潽灵控
#李子柒紫气东来,@夏花绚洁
#李子柒紫气东来,@快热暑假
#李子柒紫气东来,@一览众山小6888
#李子柒紫气东来,@黑白狗我
#李子柒紫气东来,@土豆薯条仔
#李子柒紫气东来,@抹了的茶
#李子柒紫气东来,@留鲜花Henry
#李子柒紫气东来,@机智蓑羽鹤
#李子柒紫气东来,@敬重风险老韦2号
#李子柒紫气东来,@新光先生
#李子柒紫气东来,@给我点阳光就灿烂
#李子柒紫气东来,@宋英杰
@宋英杰,@佛弟子能晴
#李子柒紫气东来,@wrbcsc
#李子柒紫气东来,@西楚霸王V104
#李子柒紫气东来,@阳咩咩咩乜
#李子柒紫气东来,@一线阳光KXX
#李子柒紫气东来,@萌萌小汤圆爱探险
#李子柒紫气东来,@爱吃鱼的大白猫
#李子柒紫气东来,@用户6529859414
#李子柒紫气东来,@殊色素心
#李子柒紫气东来,@先生在九八
#李子柒紫气东来,@20240218开始爱自己
#李子柒紫气东来,@麥甶里de稲愺亽
#李子柒紫气东来,@雁归初心
#李子柒紫气东来,@用户7963733325
#李子柒紫气东来,@韩秋风jinfeng
#李子柒紫气东来,@团团071905051025
#李子柒紫气东来,@姚yll-
#李子柒紫气东来,@最幸运的苏颖
#李子柒紫气东来,@Chiantti
#李子柒紫气东来,@荷韵静雅
#李子柒紫气东来,@十二只喵喵
#李子柒紫气东来,@百家争鸣bk
#李子柒紫气东来,@瓦伦西亚城堡
#李子柒紫气东来,@易千的丸子
#李子柒紫气东来,@HZFuajie
#李子柒紫气东来,@曰北冥有Y
#李子柒紫气东来,@枫萧萧0528
#李子柒紫气东来,@月出皎兮Veritas
#李子柒紫气东来,@zz哈哈温
#李子柒紫气东来,@斩美狗屠精日
#李子柒紫气东来,@han坤
#李子柒紫气东来,@用户6579851981
#李子柒紫气东来,@新新相印5730
#李子柒紫气东来,@活在阳光下的呆呆
#李子柒紫气东来,@米宝苞米
#李子柒紫气东来,@咕叽咕叽喵喵_咪呀
#李子柒紫气东来,@熊222222
#李子柒紫气东来,@莫斯科的叮当猫2
#李子柒紫气东来,@我我我不是结结结巴
@我我我不是结结结巴,@士士多多啤梨梨
#李子柒紫气东来,@少管我昵
#李子柒紫气东来,@甜甜小蜜蜂CC
#李子柒紫气东来,@laoqiuo
#李子柒紫气东来,@黃子新5730
#李子柒紫气东来,@黃子新5730
#李子柒紫气东来,@娟子pool
#李子柒紫气东来,@Fighterfighter
#李子柒紫气东来,@__一只爱吃素的猫
#李子柒紫气东来,@暮色Voice未央
#李子柒紫气东来,@不老时光119
#李子柒紫气东来,@D爱迪1生
#李子柒紫气东来,@7小鬼-当家7
#李子柒紫气东来,@摩西摩西真相只有一个
#李子柒紫气东来,@芦花鸡Luhua
#李子柒紫气东来,@旺財旺財旺財
@旺財旺財旺財,@旺財旺財旺財
#李子柒紫气东来,@余姚__
#李子柒紫气东来,@crushedcookie
#李子柒紫气东来,@happy小狗everyday
#李子柒紫气东来,@StevenZhangYanWen
#李子柒紫气东来,@xgxg_8
#李子柒紫气东来,@用户7962213507
#李子柒紫气东来,@梅莉梅莉-
#李子柒紫气东来,@吉塔吉塔Geeta
#李子柒紫气东来,@舂鸡脚和包烧干巴
#李子柒紫气东来,@长草的小偷
#李子柒紫气东来,@BBVDJ
#李子柒紫气东来,@小静TX
#李子柒紫气东来,@磊磊-198803
#李子柒紫气东来,@庆喜不在家
#李子柒紫气东来,@muke-lu
#李子柒紫气东来,@一实闰童
#李子柒紫气东来,@irenedyf
#李子柒紫气东来,@用户7736087388
#李子柒紫气东来,@Yvvcoo
#李子柒紫气东来,@Jenny婧1010
#李子柒紫气东来,@-DinAsy
#李子柒紫气东来,@我我我不是结结结巴
@我我我不是结结结巴,@生椰拿铁少冰冰
#李子柒紫气东来,@大问号有小盆友
#李子柒紫气东来,@蓝风徐来
#李子柒紫气东来,@我我我不是结结结巴
@我我我不是结结结巴,@满级观众
#李子柒紫气东来,@用户7954114926
#李子柒紫气东来,@大问号有小盆友
#李子柒紫气东来,@我我我不是结结结巴
@我我我不是结结结巴,@高冷汉堡包耶
#李子柒紫气东来,@喵星人1923
#李子柒紫气东来,@芋泥脑袋厚厚厚
#李子柒紫气东来,@请问-boobam
#李子柒紫气东来,@木执呀
#李子柒紫气东来,@Silence_酥脆
#李子柒紫气东来,@矮周迅
@矮周迅,@翩然轻擦y
#李子柒紫气东来,@上上签_6499878834
#李子柒紫气东来,@孩子们的姥姥
#李子柒紫气东来,@有漾学漾
@有漾学漾,@靠谱先生823
#李子柒紫气东来,@博主轉混Instagram了
#李子柒紫气东来,@素影书世界
#李子柒紫气东来,@用户7963723115
#李子柒紫气东来,@且行__且歌__
#李子柒紫气东来,@小雨未雨
#李子柒紫气东来,@小嘴嘟嘟哝哝
#李子柒紫气东来,@用户7962706161
#李子柒紫气东来,@剑剑Emma
#李子柒紫气东来,@Sowers18189120220212
#李子柒紫气东来,@Yyuniiii
#李子柒紫气东来,@小赫赫hehe
#李子柒紫气东来,@潇洒小绵羊啦啦啦
#李子柒紫气东来,@吃恩橙cyyy
#李子柒紫气东来,@姓高却不高的新新新新新
#李子柒紫气东来,@好好学习天天向上666888
#李子柒紫气东来,@酒芯话678
#李子柒紫气东来,@我我我不是结结结巴
@我我我不是结结结巴,@快乐冲浪达人_
#李子柒紫气东来,@斛律恒伽
#李子柒紫气东来,@我我我不是结结结巴
@我我我不是结结结巴,@近视的kt猫
#李子柒紫气东来,@北京玖富涉嫌诈骗必须立案
#李子柒紫气东来,@小徐娃哈哈
#李子柒紫气东来,@乐妈咪乐
#李子柒紫气东来,@我我我不是结结结巴
@我我我不是结结结巴,@圆来是未来
#李子柒紫气东来,@用户5748185417
#李子柒紫气东来,@晚安阿苧
#李子柒紫气东来,@六根清净无忧愁
@六根清净无忧愁,@微笑山菊花
#李子柒紫气东来,@纠结君很纠结
#李子柒紫气东来,@小耳朵米妮O
#李子柒紫气东来,@用户7902296480
#李子柒紫气东来,@冷静杏仁酥吃便当
#李子柒紫气东来,@自带猫耳的猫十八
#李子柒紫气东来,@jojo小滴
#李子柒紫气东来,@Summertim-
#李子柒紫气东来,@张双梅的微博
#李子柒紫气东来,@峰岳1999
#李子柒紫气东来,@超级奥利奥加倍
#李子柒紫气东来,@木公有木
#李子柒紫气东来,@赵镭老师
#李子柒紫气东来,@77折
#李子柒紫气东来,@吴财主178
#李子柒紫气东来,@树LiuYang
#李子柒紫气东来,@我我我不是结结结巴
@我我我不是结结结巴,@丝瓜甜蜜酱
#李子柒紫气东来,@骏骏家的小胖鱼
#李子柒紫气东来,@转了立马的
#李子柒紫气东来,@中晨燕雪
#李子柒紫气东来,@用户6178306157
#李子柒紫气东来,@王小狗的杨小姨
#李子柒紫气东来,@用户7475472761
#李子柒紫气东来,@温书小鱼
#李子柒紫气东来,@最虐不過一拜兲地
#李子柒紫气东来,@鼠来改名叫已经瘦了十四斤
@鼠来改名叫已经瘦了十四斤,@鼠来改名叫已经瘦了十四斤
#李子柒紫气东来,@书映真
#李子柒紫气东来,@用户5749602753
#李子柒紫气东来,@Celine的一些事一些情
#李子柒紫气东来,@东方敏Baby
#李子柒紫气东来,@致炫耀
#李子柒紫气东来,@海底两万里HR
#李子柒紫气东来,@邓为需要手洗的衣服
#李子柒紫气东来,@乙-Zoie
#李子柒紫气东来,@小曼去远方
#李子柒紫气东来,@极度恐丑的颜狗
@极度恐丑的颜狗,@暴富暴美9999
#李子柒紫气东来,@紫水晶dgjm
#李子柒紫气东来,@禹宙中欣没有帝欣引力
#李子柒紫气东来,@mingruo---
#李子柒紫气东来,@岚_527
#李子柒紫气东来,@用户7957462953
#李子柒紫气东来,@我们都一样_JJ
#李子柒紫气东来,@FUZE的新婚爱妻
@FUZE的新婚爱妻,@宫崎英高回家路上一脚踩进腐败池
@宫崎英高回家路上一脚踩进腐败池,@炮炮_施展名为异议的法术
@炮炮_施展名为异议的法术,@潮汐锁定_-
#李子柒紫气东来,@幸运的小朵朵
#李子柒紫气东来,@被风吹的枫叶_1042
#李子柒紫气东来,@雾矢岛
#李子柒紫气东来,@森实2017
#李子柒紫气东来,@不吃辣饼
@不吃辣饼,@小小小K天天犯懒
@小小小K天天犯懒,@GamEC111
@GamEC111,@招福的花园
@招福的花园,@水墨轻寒
#李子柒紫气东来,@冰淇淋之森2021
#李子柒紫气东来,@桃子and乔治
#李子柒紫气东来,@小鱼的糖茶
#李子柒紫气东来,@不吃辣饼
@不吃辣饼,@小小小K天天犯懒
@小小小K天天犯懒,@GamEC111
@GamEC111,@招福的花园
@招福的花园,@言幽灵
#李子柒紫气东来,@安娜琳琳
#李子柒紫气东来,@清心雨读
#李子柒紫气东来,@小小修的小小
#李子柒紫气东来,@白雨山snow
#李子柒紫气东来,@第五篇66
#李子柒紫气东来,@默默的云默默的走
#李子柒紫气东来,@安无言安无语安安不言不语
#李子柒紫气东来,@大有君子
#李子柒紫气东来,@空无宝宝
#李子柒紫气东来,@Guard-五丸
#李子柒紫气东来,@向前冲的sun
#李子柒紫气东来,@百事可乐矣
#李子柒紫气东来,@一抹摇曳的紫色-雪
#李子柒紫气东来,@楓雪櫻漫
#李子柒紫气东来,@山高水明0816
#李子柒紫气东来,@仰望阳光正好
#李子柒紫气东来,@我说你闭嘴别说话
#李子柒紫气东来,@狂野大蟑螂ovo
#李子柒紫气东来,@取名相惜
#李子柒紫气东来,@管理阳光
#李子柒紫气东来,@丛芝麻6484738808
#李子柒紫气东来,@马春林-熊猫哥
@马春林-熊猫哥,@jc-清风明月
#李子柒紫气东来,@Mox19-掰掰
@Mox19-掰掰,@叽姆堇
@叽姆堇,@冷圈恶魔
#李子柒紫气东来,@懒出草
@懒出草,@雪域Y彩虹桥
#李子柒紫气东来,@北斗七行_X
#李子柒紫气东来,@中东8512
#李子柒紫气东来,@骗子活不过今年
#李子柒紫气东来,@空心尧
#李子柒紫气东来,@梦里寻他无踪影
#李子柒紫气东来,@晚来天欲雪404
#李子柒紫气东来,@半仙儿要和老爹一起加油
#李子柒紫气东来,@用户7737305561
#李子柒紫气东来,@熬夜刺猬_
#李子柒紫气东来,@法律人蒋德
#李子柒紫气东来,@DoDaisy
@DoDaisy,@逛上饶
#李子柒紫气东来,@科比17056
#李子柒紫气东来,@请叫我王5305
#李子柒紫气东来,@SeasonLee1105
#李子柒紫气东来,@-叫豆豆的那只猫-
#李子柒紫气东来,@Lian上练市
#李子柒紫气东来,@奶酪冰淇淋吖
#李子柒紫气东来,@锦衣小盆友
@锦衣小盆友,@芡实千千
#李子柒紫气东来,@好运的好运的好运的沛沛
#李子柒紫气东来,@hhhshuyu
#李子柒紫气东来,@等到了蓝色的夏天
#李子柒紫气东来,@月亮有星
#李子柒紫气东来,@Mr小粉红
#李子柒紫气东来,@香雪海0307
#李子柒紫气东来,@愚大悟
#李子柒紫气东来,@橘子熟了cz
#李子柒紫气东来,@今天投进三分球了没
#李子柒紫气东来,@yeah__liu
#李子柒紫气东来,@想吃想睡想玩
#李子柒紫气东来,@又是想要财富自由大吉大利的一天
#李子柒紫气东来,@谁是咩咩yaa
#李子柒紫气东来,@XING-M
#李子柒紫气东来,@喜欢花布的姑娘
#李子柒紫气东来,@WTL-真的
#李子柒紫气东来,@黃子新5730
#李子柒紫气东来,@黃子新5730
#李子柒紫气东来,@2009851962其乐融融
#李子柒紫气东来,@宋三敏
#李子柒紫气东来,@唯美艺术大观
#李子柒紫气东来,@柳叶安安
@柳叶安安,@微凉想回到过去
#李子柒紫气东来,@歪脖子素
#李子柒紫气东来,@象象伐开心
#李子柒紫气东来,@不吃辣饼
